Year,Month,Region,Industry,Application,Bearing_Type,Sales_Channel,Buyer_Category,Buyer_Tier,Product_Class,Dealer_ID,Repeat_Order_Count,Order_Quantity,Price_Per_Unit,Revenue,Lead_Time,Inventory_Status,Warehouse,Competitor_Brand,Competitor_Price_Index,Failure_Risk_Score,Operating_Temperature_C,Contract_Length_Years,Machine_Age_Years
2023,10,South,Steel,Pump,SRB,RFQ,Small Dealer,Other Buyer,Store Item,1521,1,317,13421207.86,4254522890.3,4 Weeks,Stock Available,Bangalore,Chinese Imports,0.9,0.34,177.63,2,11
2023,5,South,Power,Screen,Others,Rate Contract,PSU,Other Buyer,Stranger,1374,6,108,7984715.82,862349308.91,16 Weeks,Stock-Out,Mumbai,Chinese Imports,0.78,0.4,51.35,2,5
2022,1,West,Steel,Gearbox,SRB,RFQ,Large Distributor,Other Buyer,Store Item,1426,2,158,6774781.91,1070415541.69,4 Weeks,Stock Available,Mumbai,Chinese Imports,0.93,0.52,95.67,2,6
2024,11,East,Cement,Motor,Others,RFQ,OEM,Other Buyer,Insurance Spare,1100,3,277,14124031.43,3912356705.18,1 Week,Stock Available,Mumbai,Timken,0.91,0.17,82.26,3,1
2021,10,East,Mining,Motor,SRB,RFQ,Small Dealer,Other Buyer,Store Item,1243,3,349,10956132.05,3823690085.78,4 Weeks,Stock Available,Mumbai,Schaeffler,1.2,0.47,89.28,2,3
2022,11,South,Others,Gearbox,SRB,RFQ,Large Distributor,Top 20% Buyer,Store Item,1022,1,361,5061339.1,1827143416.47,4 Weeks,Stock Available,Chennai,Chinese Imports,1.0,0.44,77.15,2,9
2022,1,South,Steel,Motor,Ball Bearing,Rate Contract,Small Dealer,Other Buyer,Insurance Spare,1353,1,159,14042364.78,2232735999.31,1 Week,Stock Available,Chennai,SKF,0.73,0.2,93.57,2,1
2023,12,East,Steel,Crusher,SRB,Rate Contract,Small Dealer,Top 20% Buyer,Store Item,1465,2,327,12779970.29,4179050286.46,4 Weeks,Stock Available,Delhi,Chinese Imports,0.93,0.83,59.8,2,13
2024,10,South,Power,Motor,SRB,RFQ,OEM,Other Buyer,Store Item,1224,4,60,14318007.76,859080465.5,1 Week,Stock Available,Bangalore,Chinese Imports,1.14,0.43,79.17,2,17
2021,9,North,Mining,Crusher,SRB,RFQ,Large Distributor,Top 20% Buyer,Stranger,1443,3,284,1443395.21,409924240.27,16 Weeks,Stock-Out,Bangalore,Schaeffler,1.13,0.31,144.69,2,16
2023,10,East,Mining,Gearbox,Others,Rate Contract,Large Distributor,Top 20% Buyer,Store Item,1268,3,29,14329275.13,415548978.75,1 Week,Stock Available,Chennai,SKF,1.18,0.13,88.17,2,12
2023,12,West,Steel,Motor,Ball Bearing,RFQ,Large Distributor,Other Buyer,Insurance Spare,1532,2,374,8143260.87,3045579564.54,1 Week,Stock Available,Delhi,NRB,1.15,0.09,69.1,2,2
2020,10,East,Steel,Motor,TRB,RFQ,PSU,Other Buyer,Insurance Spare,1313,1,270,10083239.31,2722474612.43,1 Week,Stock-Out,Delhi,Schaeffler,0.79,0.96,55.18,2,4
2024,10,South,Power,Rolling Mill,Others,RFQ,Small Dealer,Other Buyer,Insurance Spare,1119,4,296,3183615.01,942350041.69,4 Weeks,Stock Available,Mumbai,Chinese Imports,0.7,1.0,88.72,2,13
2021,12,North,Steel,Crusher,Others,RFQ,Small Dealer,Other Buyer,Stranger,1480,1,238,2106056.73,501241502.86,1 Week,Stock Available,Delhi,Schaeffler,1.01,0.9,130.08,3,6
2020,11,East,Paper,Crusher,CRB,RFQ,Small Dealer,Other Buyer,Store Item,1119,2,214,1190849.29,254841747.66,1 Week,Stock Available,Bangalore,Schaeffler,1.05,0.46,75.46,3,17
2025,8,South,Power,Pump,Ball Bearing,RFQ,Small Dealer,Other Buyer,Insurance Spare,1135,5,129,6334719.49,817178814.16,4 Weeks,Stock Available,Kolkata,Chinese Imports,0.77,0.81,99.14,2,16
2025,11,South,Mining,Screen,SRB,RFQ,Large Distributor,Other Buyer,Store Item,1076,4,177,3320273.19,587688354.7,4 Weeks,Stock Available,Chennai,Schaeffler,0.78,0.83,173.34,2,9
2025,7,North,Power,Motor,SRB,Rate Contract,PSU,Other Buyer,Insurance Spare,1353,5,122,1224380.37,149374404.6,1 Week,Stock Available,Mumbai,Chinese Imports,1.18,0.3,117.33,2,15
2022,5,East,Mining,Rolling Mill,SRB,RFQ,OEM,Other Buyer,Store Item,1057,4,318,14325994.74,4555666326.14,1 Week,Stock Available,Delhi,Schaeffler,1.17,0.59,114.47,2,2
2020,10,West,Steel,Screen,SRB,RFQ,Large Distributor,Other Buyer,Stranger,1085,2,87,11000880.81,957076630.74,4 Weeks,Stock Available,Chennai,Chinese Imports,0.78,0.96,97.39,1,2
2024,12,North,Paper,Rolling Mill,SRB,RFQ,PSU,Other Buyer,Stranger,1000,3,86,7767836.91,668033974.16,4 Weeks,Stock-Out,Chennai,Schaeffler,0.82,0.28,117.96,3,17
2023,12,South,Steel,Screen,Others,RFQ,PSU,Top 20% Buyer,Store Item,1076,4,27,11150222.51,301056007.72,4 Weeks,Stock-Out,Chennai,Schaeffler,1.15,0.66,177.84,3,14
2021,6,South,Power,Motor,Others,RFQ,Small Dealer,Other Buyer,Store Item,1521,1,140,9171888.13,1284064337.66,4 Weeks,Stock Available,Bangalore,Timken,0.92,0.66,75.53,3,15
2023,9,North,Steel,Rolling Mill,SRB,RFQ,Small Dealer,Other Buyer,Insurance Spare,1443,3,310,2670521.79,827861753.94,1 Week,Stock Available,Mumbai,Schaeffler,1.1,0.45,171.87,2,2
2020,4,North,Power,Crusher,SRB,Rate Contract,Small Dealer,Other Buyer,Store Item,1147,2,93,9501561.32,883645203.03,4 Weeks,Stock-Out,Kolkata,Schaeffler,0.9,0.49,60.87,2,3
2025,12,North,Steel,Pump,SRB,Rate Contract,PSU,Top 20% Buyer,Store Item,1524,0,303,10215196.79,3095204628.12,1 Week,Stock Available,Mumbai,Schaeffler,1.07,0.46,55.55,2,18
2021,12,South,Steel,Rolling Mill,SRB,RFQ,Small Dealer,Other Buyer,Store Item,1185,1,356,3562093.09,1268105139.52,1 Week,Stock-Out,Delhi,Chinese Imports,0.9,0.52,131.65,3,5
2024,10,North,Others,Gearbox,SRB,Rate Contract,OEM,Other Buyer,Store Item,1521,3,373,4802196.9,1791219444.97,1 Week,Stock-Out,Mumbai,Chinese Imports,1.15,0.15,75.17,3,4
2022,12,East,Steel,Motor,Others,RFQ,Large Distributor,Other Buyer,Store Item,1161,3,374,5749534.56,2150325927.07,4 Weeks,Stock Available,Bangalore,Chinese Imports,0.86,0.79,102.21,2,7
2023,11,East,Mining,Motor,SRB,RFQ,Large Distributor,Other Buyer,Store Item,1289,3,215,9038215.49,1943216331.07,1 Week,Stock Available,Kolkata,Chinese Imports,0.96,0.66,142.15,2,7
2023,10,East,Others,Gearbox,SRB,Rate Contract,Large Distributor,Other Buyer,Store Item,1420,2,86,1902154.66,163585300.63,4 Weeks,Stock Available,Mumbai,SKF,0.96,0.97,114.88,2,5
2021,2,North,Steel,Screen,SRB,Rate Contract,Small Dealer,Other Buyer,Store Item,1195,9,100,11152182.11,1115218211.34,1 Week,Stock Available,Delhi,Timken,1.02,0.25,41.92,2,15
2025,8,East,Cement,Pump,Others,RFQ,PSU,Other Buyer,Store Item,1033,4,50,5190390.22,259519511.02,16 Weeks,Stock Available,Mumbai,SKF,0.85,0.15,82.82,2,5
2024,10,South,Steel,Screen,Others,RFQ,Large Distributor,Other Buyer,Store Item,1407,2,364,10376601.62,3777082991.31,1 Week,Stock Available,Bangalore,SKF,1.02,0.34,49.06,1,14
2025,10,South,Steel,Gearbox,Others,RFQ,OEM,Top 20% Buyer,Store Item,1296,2,275,13993313.59,3848161235.95,4 Weeks,Stock Available,Chennai,Chinese Imports,0.77,0.51,169.66,1,3
2025,7,West,Power,Gearbox,Ball Bearing,RFQ,Small Dealer,Other Buyer,Store Item,1536,6,53,13048124.91,691550620.04,4 Weeks,Stock Available,Bangalore,Chinese Imports,1.15,0.21,151.25,2,1
2023,12,North,Others,Pump,SRB,Rate Contract,Large Distributor,Top 20% Buyer,Store Item,1035,5,153,11063727.44,1692750298.16,1 Week,Stock-Out,Bangalore,Chinese Imports,0.77,0.46,177.74,3,2
2025,4,East,Steel,Gearbox,SRB,RFQ,Small Dealer,Other Buyer,Stranger,1263,4,79,2899937.02,229095024.71,16 Weeks,Stock Available,Bangalore,Chinese Imports,1.12,0.64,163.92,2,13
2020,9,West,Power,Gearbox,Ball Bearing,RFQ,Large Distributor,Top 20% Buyer,Store Item,1381,3,225,10981126.25,2470753405.27,4 Weeks,Stock Available,Kolkata,NRB,1.05,0.06,106.55,2,2
2021,11,East,Power,Rolling Mill,Others,RFQ,Large Distributor,Top 20% Buyer,Store Item,1113,3,228,9536855.66,2174403090.0,1 Week,Stock Available,Mumbai,Chinese Imports,0.87,0.76,163.56,3,11
2020,11,South,Paper,Pump,SRB,RFQ,Large Distributor,Other Buyer,Store Item,1442,1,10,11588211.44,115882114.36,1 Week,Stock Available,Delhi,Timken,0.86,0.94,134.14,2,5
2022,10,West,Steel,Motor,Ball Bearing,Rate Contract,PSU,Other Buyer,Insurance Spare,1162,3,59,13032214.06,768900629.54,4 Weeks,Stock-Out,Chennai,Chinese Imports,1.18,0.27,113.44,2,12
2022,5,North,Cement,Screen,TRB,Rate Contract,Large Distributor,Other Buyer,Store Item,1037,3,343,4672154.25,1602548908.29,1 Week,Stock-Out,Chennai,SKF,0.8,0.78,91.89,2,18
2022,3,South,Cement,Motor,SRB,RFQ,Small Dealer,Top 20% Buyer,Stranger,1091,4,336,9664575.31,3247297305.55,1 Week,Stock Available,Kolkata,SKF,1.06,0.42,135.34,1,17
2025,10,South,Cement,Motor,TRB,RFQ,Small Dealer,Other Buyer,Store Item,1100,3,19,4127101.77,78414933.69,4 Weeks,Stock Available,Delhi,NRB,0.79,0.66,122.62,2,13
2022,10,North,Others,Rolling Mill,Ball Bearing,RFQ,OEM,Other Buyer,Store Item,1506,6,15,5194300.24,77914503.56,1 Week,Stock Available,Chennai,SKF,1.15,0.74,125.99,3,6
2022,4,East,Paper,Screen,SRB,RFQ,OEM,Other Buyer,Stranger,1178,4,387,7809687.34,3022348999.82,4 Weeks,Stock Available,Delhi,SKF,1.07,0.29,95.98,2,10
2023,11,East,Steel,Motor,Ball Bearing,RFQ,Large Distributor,Other Buyer,Store Item,1283,4,171,6512473.51,1113632970.12,1 Week,Stock Available,Delhi,SKF,1.17,0.79,143.5,1,1
2021,8,East,Power,Pump,Others,RFQ,Small Dealer,Other Buyer,Stranger,1354,5,380,9009475.01,3423600504.5,1 Week,Stock Available,Mumbai,Chinese Imports,1.14,0.11,51.39,2,18
2025,10,North,Steel,Screen,SRB,RFQ,PSU,Other Buyer,Stranger,1296,1,78,11381431.71,887751673.01,4 Weeks,Stock-Out,Kolkata,Chinese Imports,0.97,0.99,141.66,2,4
2020,12,East,Steel,Crusher,Ball Bearing,RFQ,Small Dealer,Other Buyer,Stranger,1534,5,311,9075316.17,2822423328.33,4 Weeks,Stock Available,Bangalore,Schaeffler,0.78,0.34,142.31,2,4
2025,4,South,Power,Rolling Mill,SRB,Rate Contract,Small Dealer,Other Buyer,Insurance Spare,1487,1,169,14547008.63,2458444457.95,1 Week,Stock Available,Bangalore,Chinese Imports,0.81,0.22,112.23,1,9
2024,1,East,Steel,Motor,CRB,RFQ,Large Distributor,Top 20% Buyer,Store Item,1278,5,189,11071810.61,2092572205.67,1 Week,Stock-Out,Chennai,Chinese Imports,0.8,0.14,76.86,2,5
2021,11,North,Power,Gearbox,Others,Rate Contract,PSU,Other Buyer,Store Item,1543,3,92,14775178.0,1359316375.67,1 Week,Stock Available,Chennai,Schaeffler,0.81,0.81,112.7,2,10
2020,10,West,Others,Screen,Ball Bearing,RFQ,Small Dealer,Other Buyer,Store Item,1354,0,247,11151621.12,2754450417.43,16 Weeks,Stock Available,Kolkata,NRB,0.94,0.59,57.23,2,12
2025,11,East,Steel,Crusher,SRB,Rate Contract,Large Distributor,Other Buyer,Stranger,1318,2,360,7618802.77,2742768996.11,1 Week,Stock Available,Mumbai,Chinese Imports,1.13,0.95,79.92,3,5
2024,12,South,Others,Gearbox,Others,RFQ,Large Distributor,Other Buyer,Store Item,1194,2,69,6165110.01,425392590.43,1 Week,Stock Available,Chennai,Chinese Imports,0.71,0.65,98.98,2,1
2024,12,East,Power,Crusher,Others,Rate Contract,Large Distributor,Other Buyer,Store Item,1092,1,277,11034916.43,3056671849.9,16 Weeks,Stock Available,Chennai,Schaeffler,0.82,0.34,134.25,2,15
2024,12,North,Cement,Motor,TRB,RFQ,Large Distributor,Other Buyer,Insurance Spare,1432,1,195,10306878.37,2009841282.78,4 Weeks,Stock-Out,Delhi,Schaeffler,1.0,0.84,66.21,3,7
2020,9,North,Paper,Gearbox,Ball Bearing,Rate Contract,Large Distributor,Other Buyer,Store Item,1026,3,146,10031483.8,1464596635.5,4 Weeks,Stock Available,Kolkata,Chinese Imports,1.13,0.28,62.14,2,12
2022,8,West,Steel,Motor,SRB,Rate Contract,Large Distributor,Other Buyer,Insurance Spare,1414,4,42,10826768.79,454724289.27,1 Week,Stock Available,Bangalore,NRB,0.85,0.29,125.09,2,14
2020,7,East,Power,Gearbox,Others,RFQ,PSU,Other Buyer,Stranger,1161,1,378,13082586.81,4945217814.87,1 Week,Stock Available,Kolkata,SKF,0.89,0.03,135.14,2,12
2025,3,West,Power,Screen,TRB,RFQ,Small Dealer,Other Buyer,Store Item,1100,2,157,3416435.5,536380373.92,1 Week,Stock Available,Bangalore,Schaeffler,0.89,0.25,51.71,2,16
2024,9,East,Steel,Pump,TRB,Rate Contract,PSU,Other Buyer,Insurance Spare,1472,1,384,8473438.34,3253800321.65,4 Weeks,Stock Available,Delhi,Chinese Imports,0.85,0.26,44.64,2,11
2022,5,East,Others,Pump,SRB,Rate Contract,PSU,Other Buyer,Insurance Spare,1157,2,41,9049533.68,371030880.98,1 Week,Stock Available,Mumbai,SKF,1.05,0.3,60.6,3,18
2020,12,East,Paper,Crusher,TRB,Rate Contract,Large Distributor,Other Buyer,Insurance Spare,1491,4,231,4392880.85,1014755477.0,1 Week,Stock Available,Bangalore,Chinese Imports,1.03,0.37,166.14,2,1
2022,10,South,Steel,Rolling Mill,Others,Rate Contract,Small Dealer,Other Buyer,Store Item,1008,0,346,14819244.7,5127458667.4,1 Week,Stock Available,Delhi,Chinese Imports,1.12,0.58,134.17,1,14
2022,10,South,Steel,Gearbox,Others,Rate Contract,PSU,Other Buyer,Store Item,1211,3,256,11783077.32,3016467794.86,4 Weeks,Stock Available,Mumbai,Schaeffler,1.16,0.22,168.94,2,13
2024,6,East,Power,Motor,SRB,RFQ,PSU,Other Buyer,Store Item,1438,4,371,4819018.69,1787855932.85,4 Weeks,Stock Available,Delhi,Timken,1.15,0.64,133.06,1,8
2024,2,East,Steel,Rolling Mill,CRB,RFQ,Large Distributor,Top 20% Buyer,Insurance Spare,1110,2,139,5376541.0,747339198.67,4 Weeks,Stock Available,Mumbai,Chinese Imports,0.97,0.13,175.13,2,16
2025,1,North,Cement,Screen,TRB,RFQ,Large Distributor,Other Buyer,Store Item,1202,4,15,10773883.5,161608252.53,1 Week,Stock Available,Chennai,Chinese Imports,0.79,0.93,101.45,2,1
2023,7,East,Steel,Screen,Others,RFQ,Large Distributor,Other Buyer,Store Item,1064,3,206,172440.86,35522817.71,4 Weeks,Stock Available,Mumbai,Chinese Imports,0.81,0.03,123.87,1,4
2020,2,East,Power,Screen,Others,RFQ,OEM,Other Buyer,Store Item,1160,1,338,6960626.5,2352691758.18,1 Week,Stock Available,Bangalore,NRB,1.0,0.91,124.17,2,16
2024,10,South,Steel,Pump,Others,RFQ,OEM,Top 20% Buyer,Store Item,1413,1,242,5146690.86,1245499187.42,1 Week,Stock Available,Mumbai,Schaeffler,1.16,0.55,40.44,1,13
2024,12,South,Steel,Motor,Others,RFQ,Small Dealer,Other Buyer,Store Item,1265,2,373,12810050.36,4778148784.08,16 Weeks,Stock-Out,Kolkata,NRB,0.97,0.71,43.84,2,18
2023,12,East,Cement,Screen,SRB,RFQ,Large Distributor,Other Buyer,Store Item,1204,2,312,11869432.0,3703262785.54,1 Week,Stock Available,Mumbai,Chinese Imports,1.17,0.3,60.34,2,2
2024,10,East,Power,Screen,Others,RFQ,Small Dealer,Other Buyer,Insurance Spare,1155,3,73,4981480.62,363648085.04,1 Week,Stock-Out,Delhi,SKF,0.83,0.17,111.56,2,10
2023,4,South,Others,Crusher,TRB,RFQ,Large Distributor,Other Buyer,Insurance Spare,1172,2,174,12971960.07,2257121052.28,4 Weeks,Stock Available,Bangalore,SKF,0.74,0.95,100.27,2,5
2023,12,South,Paper,Gearbox,SRB,RFQ,Large Distributor,Top 20% Buyer,Store Item,1307,3,75,13704003.55,1027800266.03,1 Week,Stock Available,Chennai,Timken,1.1,0.44,115.56,2,11
2023,12,North,Steel,Gearbox,SRB,RFQ,Small Dealer,Other Buyer,Insurance Spare,1449,7,275,8286900.64,2278897675.63,1 Week,Stock Available,Chennai,Timken,1.14,0.48,152.07,2,2
2020,4,East,Steel,Gearbox,SRB,Rate Contract,PSU,Other Buyer,Store Item,1061,5,153,2388588.67,365454066.57,16 Weeks,Stock Available,Delhi,Chinese Imports,0.92,0.99,155.11,2,1
2020,11,East,Paper,Rolling Mill,Others,RFQ,Large Distributor,Top 20% Buyer,Stranger,1372,2,86,11554930.43,993724016.95,1 Week,Stock Available,Chennai,SKF,0.75,0.34,176.78,1,17
2020,5,East,Others,Crusher,Ball Bearing,Rate Contract,OEM,Top 20% Buyer,Store Item,1459,3,5,4790190.83,23950954.13,1 Week,Stock Available,Bangalore,Schaeffler,0.72,0.1,118.06,2,4
2024,12,North,Paper,Pump,Others,RFQ,Large Distributor,Other Buyer,Stranger,1474,6,399,7909239.76,3155786663.98,4 Weeks,Stock Available,Delhi,Chinese Imports,0.73,0.59,88.61,2,2
2022,12,North,Steel,Rolling Mill,CRB,RFQ,OEM,Other Buyer,Store Item,1380,5,14,683868.14,9574154.02,1 Week,Stock-Out,Bangalore,Chinese Imports,0.92,0.55,83.12,2,18
2023,1,West,Others,Crusher,CRB,RFQ,PSU,Other Buyer,Store Item,1085,5,151,7501376.34,1132707826.68,1 Week,Stock Available,Chennai,NRB,0.82,0.77,87.7,3,4
2025,12,East,Steel,Screen,SRB,RFQ,Small Dealer,Other Buyer,Insurance Spare,1142,2,378,5703992.79,2156109273.87,1 Week,Stock Available,Chennai,Chinese Imports,0.93,0.96,85.34,1,1
2021,10,North,Mining,Motor,Ball Bearing,RFQ,Large Distributor,Other Buyer,Store Item,1006,1,302,10290991.96,3107879570.71,1 Week,Stock Available,Kolkata,SKF,0.94,0.31,95.01,2,14
2022,12,East,Others,Rolling Mill,Ball Bearing,RFQ,Small Dealer,Top 20% Buyer,Insurance Spare,1294,4,98,611793.57,59955769.66,4 Weeks,Stock Available,Delhi,Chinese Imports,0.93,0.72,50.48,2,13
2024,8,South,Steel,Rolling Mill,SRB,Rate Contract,Large Distributor,Other Buyer,Store Item,1518,1,374,9374197.08,3505949709.5,4 Weeks,Stock Available,Mumbai,SKF,1.01,0.43,128.68,3,10
2021,12,South,Others,Screen,Others,Rate Contract,Large Distributor,Top 20% Buyer,Store Item,1525,6,301,11579350.23,3485384417.84,1 Week,Stock Available,Delhi,SKF,1.04,0.78,119.53,2,13
2020,2,East,Steel,Screen,CRB,Rate Contract,OEM,Other Buyer,Insurance Spare,1033,1,386,191711.69,74000711.72,1 Week,Stock Available,Bangalore,Schaeffler,0.9,0.16,104.67,2,11
2022,6,East,Others,Motor,SRB,Rate Contract,Large Distributor,Other Buyer,Store Item,1328,1,237,11249460.17,2666122060.66,1 Week,Stock-Out,Chennai,Chinese Imports,0.87,0.5,51.35,2,6
2021,2,South,Steel,Gearbox,Others,RFQ,Large Distributor,Other Buyer,Store Item,1033,3,152,1953095.2,296870470.55,1 Week,Stock Available,Kolkata,Schaeffler,0.88,0.08,53.05,3,6
2025,12,East,Others,Rolling Mill,SRB,RFQ,OEM,Other Buyer,Stranger,1405,2,128,10470853.81,1340269287.66,4 Weeks,Stock Available,Delhi,SKF,0.74,0.56,116.31,1,19
2025,12,East,Steel,Crusher,Ball Bearing,RFQ,Small Dealer,Top 20% Buyer,Stranger,1017,4,272,6829167.43,1857533542.21,1 Week,Stock Available,Bangalore,SKF,0.86,0.17,45.12,2,10
2024,12,East,Mining,Pump,TRB,RFQ,PSU,Other Buyer,Insurance Spare,1429,4,252,8279887.52,2086531653.79,4 Weeks,Stock Available,Kolkata,Schaeffler,0.8,0.96,141.47,3,18
2025,12,North,Power,Screen,SRB,Rate Contract,Large Distributor,Other Buyer,Insurance Spare,1427,3,386,5060235.26,1953250811.35,1 Week,Stock Available,Kolkata,SKF,0.85,0.55,179.13,2,13
2025,2,East,Power,Screen,CRB,Rate Contract,Large Distributor,Other Buyer,Stranger,1292,2,102,3682026.28,375566680.18,4 Weeks,Stock Available,Kolkata,Schaeffler,1.06,0.53,123.64,1,16
2021,7,South,Steel,Pump,CRB,Rate Contract,Small Dealer,Top 20% Buyer,Insurance Spare,1079,2,110,1065747.53,117232228.19,1 Week,Stock Available,Chennai,SKF,1.19,0.97,141.28,2,18
2025,2,West,Mining,Crusher,CRB,Rate Contract,OEM,Other Buyer,Stranger,1085,6,374,12970355.22,4850912854.01,4 Weeks,Stock Available,Bangalore,Schaeffler,1.16,0.5,101.45,2,3
2023,4,East,Steel,Screen,SRB,RFQ,Large Distributor,Other Buyer,Store Item,1047,3,170,9156453.82,1556597148.95,4 Weeks,Stock Available,Kolkata,Timken,1.11,0.68,133.44,3,15
2025,5,South,Power,Pump,SRB,RFQ,Large Distributor,Other Buyer,Insurance Spare,1083,8,117,14741988.08,1724812605.11,1 Week,Stock Available,Chennai,Chinese Imports,1.07,0.05,131.25,2,17
2025,8,North,Steel,Screen,SRB,RFQ,OEM,Other Buyer,Store Item,1307,0,62,12756784.49,790920638.26,4 Weeks,Stock Available,Chennai,Schaeffler,1.17,0.71,155.37,2,3
2022,5,East,Others,Gearbox,Others,Rate Contract,Large Distributor,Other Buyer,Insurance Spare,1251,1,374,13044504.22,4878644579.39,4 Weeks,Stock Available,Chennai,Timken,1.08,0.1,139.59,1,2
2020,3,East,Steel,Gearbox,SRB,Rate Contract,PSU,Other Buyer,Insurance Spare,1480,5,370,8967761.3,3318071679.61,1 Week,Stock Available,Delhi,Chinese Imports,0.94,0.78,144.87,1,13
2021,4,West,Steel,Screen,Ball Bearing,RFQ,OEM,Top 20% Buyer,Store Item,1179,4,250,1214177.33,303544332.32,1 Week,Stock Available,Chennai,Chinese Imports,1.0,0.88,117.93,2,4
2023,3,North,Steel,Screen,Others,RFQ,PSU,Other Buyer,Insurance Spare,1309,5,271,13700947.4,3712956744.08,1 Week,Stock Available,Bangalore,NRB,0.85,0.32,107.83,2,1
2025,12,East,Power,Gearbox,Others,RFQ,Small Dealer,Other Buyer,Stranger,1425,3,387,1768328.8,684343244.36,1 Week,Stock Available,Mumbai,Timken,0.7,0.88,104.22,2,11
2025,11,West,Steel,Screen,Others,RFQ,OEM,Top 20% Buyer,Stranger,1485,2,343,7757209.45,2660722842.91,1 Week,Stock Available,Delhi,Chinese Imports,0.88,0.48,94.88,2,19
2020,12,West,Power,Crusher,Others,Rate Contract,Large Distributor,Other Buyer,Store Item,1038,9,180,12852841.8,2313511523.54,1 Week,Stock Available,Kolkata,Timken,0.9,0.57,77.24,2,11
2023,8,West,Paper,Crusher,Ball Bearing,RFQ,PSU,Other Buyer,Insurance Spare,1278,3,300,7086141.32,2125842395.56,16 Weeks,Stock Available,Chennai,SKF,1.07,0.41,44.66,2,5
